시군구코드,시군구명,행정구역별(1),2022년08월_총인구수,2022년08월_세대수,2022년08월_세대당 인구,2022년08월_남자 인구수,2022년08월_여자 인구수,2022년09월_총인구수,2022년09월_세대수,2022년09월_세대당 인구,2022년09월_남자 인구수,2022년09월_여자 인구수,관광/여가/오락,부동산,생활서비스,소매,숙박,스포츠,음식,학문/교육,기타음식업,닭/오리요리,별식/퓨전요리,부페,분식,양식,유흥주점,음식배달서비스,일식/수산물,제과제빵떡케익,중식,커피점/카페,패스트푸드,한식,centroid_dist,매매호수21,매매면적(천㎡),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),pol_q3,surv,gmean,target
41115,수원시,경기도,185563.0,93168.0,1.99,93446.0,92117.0,189267.0,94615.0,2.0,95361.0,93906.0,1378,2533,10257,14528,355,689,14807,4298,43.0,910.0,357.0,71.0,1158.0,522.0,1381.0,16.0,884.0,614.0,428.0,2339.0,817.0,5267.0,22534.0840613502,20827,1547,44344,40226,4118,21536,12306,9988,10502,8702,0.0146666666666666,50.649350649350644,8.18055,4.0
41135,성남시,경기도,483644.0,195494.0,2.47,234495.0,249149.0,482562.0,194931.0,2.48,233949.0,248613.0,1090,2294,7826,12080,421,606,12140,3566,52.0,663.0,296.0,45.0,996.0,655.0,1241.0,12.0,868.0,541.0,368.0,1930.0,595.0,3878.0,8811.862493433697,7049,588,24632,28203,-3571,11030,5866,9041,7736,8132,0.0142222222222222,60.53542009884679,4.9981396084236485,3.0
41150,의정부시,경기도,464310.0,208680.0,2.22,228406.0,235904.0,463160.0,207988.0,2.23,227867.0,235293.0,448,709,3768,5660,113,219,5611,1544,13.0,412.0,136.0,20.0,439.0,245.0,526.0,6.0,351.0,237.0,136.0,800.0,289.0,2001.0,11525.47277570184,5934,397,15704,15185,519,7494,3327,3818,4883,3873,0.013,30.06872852233677,5.574985644933967,1.0
41173,안양시,경기도,314855.0,125462.0,2.51,154261.0,160594.0,314005.0,125027.0,2.51,153909.0,160096.0,679,1302,4746,7636,158,348,6729,2117,25.0,403.0,177.0,28.0,556.0,228.0,845.0,3.0,506.0,295.0,179.0,1088.0,327.0,2069.0,9014.859951468112,5679,396,14930,15536,-606,6415,4348,4924,4167,4197,0.0144999999999999,60.692524892257396,5.459631627260256,3.0
41190,부천시,경기도,796575.0,346565.0,2.3,394605.0,401970.0,793519.0,345010.0,2.3,393010.0,400509.0,1024,1571,6389,10264,130,413,8005,2571,60.0,632.0,219.0,47.0,700.0,257.0,909.0,14.0,508.0,414.0,293.0,1098.0,477.0,2377.0,7605.334814350269,8012,528,15562,19291,-3729,6040,2679,4035,6843,9216,0.0171666666666666,34.61674820960079,5.337535583570557,1.0
41210,광명시,경기도,289887.0,119497.0,2.43,142737.0,147150.0,288933.0,118945.0,2.43,142236.0,146697.0,233,479,1900,3036,35,136,2765,1043,10.0,167.0,70.0,13.0,232.0,87.0,270.0,2.0,204.0,135.0,88.0,390.0,163.0,934.0,4902.135183834212,2681,176,6050,6964,-914,2280,1359,1926,2411,2758,0.0138333333333333,33.83763051353079,7.397270140814636,2.0
41220,평택시,경기도,575007.0,269431.0,2.13,300748.0,274259.0,575032.0,269403.0,2.13,301038.0,273994.0,647,1655,5124,8094,204,272,8916,1732,30.0,615.0,167.0,111.0,603.0,297.0,1070.0,15.0,497.0,280.0,283.0,1077.0,368.0,3503.0,54904.74424400296,13222,931,23721,20202,3519,10200,5814,4096,7707,5906,0.0114444444444444,36.2401372212693,9.87038311539344,2.0
41250,동두천시,경기도,92744.0,44520.0,2.08,46252.0,46492.0,92084.0,44100.0,2.09,45934.0,46150.0,85,204,915,1576,65,47,1723,282,,137.0,38.0,4.0,112.0,65.0,231.0,,79.0,47.0,52.0,190.0,55.0,713.0,27927.26252411144,2643,179,2594,2857,-263,1110,885,1097,599,650,0.007,42.05013093901982,4.291389246349241,1.0
41273,안산시,경기도,299434.0,136061.0,2.2,154372.0,145062.0,298604.0,135683.0,2.2,153972.0,144632.0,973,1415,6538,9333,314,373,8898,2003,74.0,562.0,224.0,46.0,715.0,280.0,1071.0,12.0,669.0,339.0,347.0,1166.0,393.0,3000.0,20169.72220073807,6747,459,16389,18558,-2169,8220,4068,5283,4101,5055,0.0139047619047619,52.624986953345164,3.2381212079896384,3.0
41281,고양시,경기도,485763.0,214771.0,2.26,239265.0,246498.0,485231.0,214458.0,2.26,238940.0,246291.0,971,1897,7805,11914,151,620,11901,3466,40.0,740.0,247.0,59.0,970.0,577.0,852.0,12.0,783.0,622.0,321.0,1939.0,692.0,4047.0,11707.262115816106,12176,928,29747,31633,-1886,13806,5343,7929,10598,9898,0.0129166666666666,53.026492287055675,5.692289957638531,3.0
41290,과천시,경기도,78657.0,29198.0,2.69,38666.0,39991.0,78231.0,28959.0,2.7,38467.0,39764.0,34,118,347,750,3,22,588,188,7.0,28.0,8.0,8.0,54.0,22.0,26.0,,32.0,26.0,16.0,116.0,39.0,206.0,7036.462562793636,286,24,2191,2456,-265,765,615,917,811,774,0.0139999999999999,41.45601617795754,4.76415838460325,1.0
41310,구리시,경기도,189960.0,80901.0,2.35,94045.0,95915.0,189231.0,80552.0,2.35,93716.0,95515.0,185,423,1623,3004,56,104,2661,724,8.0,172.0,49.0,5.0,220.0,75.0,328.0,3.0,253.0,102.0,66.0,358.0,121.0,901.0,6464.491850458776,1786,127,4280,4846,-566,1203,1334,1982,1743,1661,0.0101666666666666,31.725888324873097,5.80611522848311,1.0
41360,남양주시,경기도,737059.0,303803.0,2.43,366331.0,370728.0,737059.0,303826.0,2.43,366306.0,370753.0,517,1715,5701,8971,197,422,8859,2532,30.0,610.0,200.0,45.0,704.0,294.0,619.0,9.0,526.0,362.0,241.0,1276.0,453.0,3490.0,13134.608291628776,8846,703,19307,17806,1501,7387,4672,4481,7248,5938,0.0088333333333333,41.38117283950618,6.80771478667446,2.0
41370,오산시,경기도,230142.0,103449.0,2.22,119699.0,110443.0,229797.0,103307.0,2.22,119561.0,110236.0,276,382,2008,2831,103,128,3302,742,18.0,235.0,77.0,14.0,261.0,76.0,378.0,8.0,197.0,133.0,146.0,394.0,148.0,1217.0,34205.17015593159,4224,304,5862,6114,-252,1455,2630,2843,1777,1816,0.0166666666666666,39.444012441679625,6.076373314195151,2.0
41390,시흥시,경기도,513331.0,223558.0,2.3,268101.0,245230.0,512331.0,223160.0,2.3,267615.0,244716.0,630,1042,3938,6250,116,278,6729,1503,81.0,438.0,157.0,56.0,573.0,147.0,726.0,4.0,474.0,231.0,267.0,758.0,308.0,2509.0,22047.27897288329,8448,540,13228,14208,-980,4729,4221,4301,4278,5178,0.0147333333333333,27.78547558888255,8.546896410974083,2.0
41410,군포시,경기도,267651.0,114394.0,2.34,132817.0,134834.0,267032.0,114089.0,2.34,132542.0,134490.0,211,331,1527,1969,36,143,2480,727,3.0,153.0,64.0,15.0,198.0,87.0,313.0,4.0,164.0,121.0,79.0,358.0,153.0,768.0,13048.758385824314,4496,292,6032,6334,-302,1874,2448,2807,1710,1653,0.0146666666666666,25.06503158677072,5.594752703421379,1.0
41430,의왕시,경기도,161047.0,65282.0,2.47,79909.0,81138.0,160759.0,65173.0,2.47,79758.0,81001.0,96,225,740,1122,16,73,1336,394,7.0,95.0,32.0,6.0,94.0,54.0,92.0,1.0,80.0,63.0,29.0,246.0,68.0,469.0,13009.433775094318,1763,130,3170,3491,-321,464,1686,1977,1020,1050,0.014,30.473135525260624,5.810518022454205,1.0
41450,하남시,경기도,323472.0,139937.0,2.31,161608.0,161864.0,323853.0,139941.0,2.31,161778.0,162075.0,256,662,2651,3979,44,189,4057,861,17.0,232.0,78.0,32.0,321.0,199.0,282.0,6.0,313.0,211.0,143.0,604.0,203.0,1416.0,5721.759216268176,3461,265,9066,8899,167,2829,2308,2514,3929,3556,0.0126666666666666,33.59141298609889,8.208849857397,2.0
41461,용인시,경기도,262597.0,116586.0,2.25,135093.0,127504.0,261742.0,116264.0,2.25,134650.0,127092.0,864,2825,7591,11329,238,698,11729,3969,69.0,799.0,259.0,54.0,941.0,459.0,907.0,7.0,687.0,516.0,343.0,1956.0,680.0,4052.0,26325.1538576347,14189,1253,27955,27577,378,9416,8759,9631,9780,8530,0.0114999999999999,57.9224306203853,6.229560500917286,4.0
41480,파주시,경기도,490143.0,216236.0,2.27,248876.0,241267.0,492267.0,216844.0,2.27,249924.0,242343.0,515,1335,4149,6599,222,232,7845,1530,24.0,496.0,159.0,72.0,568.0,229.0,633.0,15.0,434.0,328.0,240.0,1123.0,350.0,3174.0,27830.2352339803,8069,669,20735,15552,5183,8313,6479,3601,5943,3638,0.0088888888888888,40.711096132782885,7.135313199386425,2.0
41500,이천시,경기도,224616.0,104066.0,2.16,116895.0,107721.0,224225.0,103873.0,2.16,116689.0,107536.0,324,647,2191,4791,153,148,4931,983,58.0,345.0,102.0,43.0,377.0,160.0,533.0,9.0,290.0,166.0,171.0,563.0,203.0,1911.0,49777.96747567481,4220,293,6707,6183,524,2190,1958,1804,2559,2189,0.0084444444444444,49.20078519349411,5.509252719310638,3.0
41550,안성시,경기도,190126.0,90235.0,2.11,98161.0,91965.0,189648.0,90117.0,2.1,97942.0,91706.0,211,401,1545,2750,95,116,3573,576,31.0,236.0,71.0,31.0,267.0,104.0,282.0,8.0,132.0,101.0,115.0,475.0,140.0,1580.0,63843.11074389972,5239,325,5405,5389,16,1586,1969,1890,1850,1913,0.0073333333333333,38.24085208727023,6.100506427736658,2.0
41570,김포시,경기도,484310.0,201830.0,2.4,242154.0,242156.0,483845.0,201734.0,2.4,241842.0,242003.0,466,1418,4179,6416,88,305,6963,1884,15.0,430.0,151.0,115.0,563.0,241.0,660.0,5.0,484.0,273.0,214.0,1003.0,304.0,2505.0,23448.689960598167,4739,399,13240,14835,-1595,4940,2513,2914,5787,6981,0.0100833333333333,36.56006914433881,8.014341610009373,2.0
