,시군구명,관광/여가/오락,부동산,생활서비스,소매,숙박,스포츠,음식,학문/교육,기타음식업,닭/오리요리,별식/퓨전요리,부페,분식,양식,유흥주점,음식배달서비스,일식/수산물,제과제빵떡케익,중식,커피점/카페,패스트푸드,한식
0,강화군,62,276,537,1233,380,25,1880,114,2.0,60.0,27.0,5.0,113.0,46.0,86.0,1.0,234.0,49.0,48.0,323.0,35.0,851.0
1,계양구,370,429,2368,3327,61,142,3293,847,20.0,258.0,91.0,19.0,264.0,82.0,412.0,2.0,205.0,112.0,117.0,458.0,158.0,1095.0
2,남동구,670,987,4516,6803,66,278,6563,1592,56.0,392.0,173.0,39.0,515.0,177.0,711.0,13.0,501.0,254.0,198.0,1022.0,288.0,2224.0
3,동  구,53,91,635,1509,36,17,811,131,2.0,63.0,27.0,6.0,88.0,9.0,88.0,,65.0,21.0,29.0,109.0,28.0,276.0
4,미추홀구,495,818,3768,5262,144,159,4643,1002,13.0,362.0,94.0,21.0,447.0,104.0,558.0,5.0,279.0,203.0,167.0,646.0,220.0,1524.0
5,부평구,549,845,4459,5849,136,196,5725,1420,25.0,399.0,147.0,28.0,481.0,153.0,693.0,4.0,331.0,262.0,202.0,890.0,260.0,1850.0
6,서구,578,1219,4348,5859,63,305,6250,1545,36.0,406.0,170.0,65.0,531.0,181.0,647.0,6.0,358.0,222.0,193.0,983.0,300.0,2152.0
7,연수구,387,871,2628,3768,94,231,4601,1329,29.0,250.0,114.0,35.0,316.0,243.0,435.0,4.0,372.0,203.0,143.0,748.0,239.0,1470.0
8,옹진군,35,39,147,333,415,6,716,22,1.0,31.0,8.0,1.0,45.0,9.0,59.0,,132.0,7.0,8.0,81.0,14.0,320.0
9,중  구,181,388,1273,2809,314,80,4093,415,24.0,162.0,53.0,42.0,276.0,123.0,361.0,4.0,629.0,137.0,127.0,566.0,152.0,1437.0
10,강남구,797,2611,8265,8528,148,702,11874,2586,49.0,340.0,224.0,47.0,751.0,1288.0,924.0,11.0,993.0,485.0,335.0,2191.0,548.0,3688.0
11,강동구,409,849,3261,3535,68,243,4728,1341,7.0,270.0,97.0,25.0,439.0,153.0,493.0,4.0,352.0,254.0,117.0,764.0,272.0,1481.0
12,강북구,303,304,1899,2596,94,112,3414,540,11.0,213.0,69.0,7.0,312.0,94.0,424.0,3.0,193.0,140.0,75.0,384.0,152.0,1337.0
13,강서구,533,1014,4025,4428,96,314,6475,1357,31.0,328.0,134.0,19.0,519.0,347.0,619.0,1.0,490.0,296.0,208.0,1134.0,322.0,2027.0
14,관악구,448,754,2839,3240,78,212,4654,1015,12.0,252.0,100.0,12.0,417.0,259.0,589.0,3.0,330.0,180.0,123.0,720.0,225.0,1432.0
15,광진구,464,764,2906,3993,67,209,4595,1059,16.0,221.0,95.0,13.0,415.0,219.0,455.0,1.0,338.0,200.0,164.0,837.0,236.0,1385.0
16,구로구,328,625,2923,4009,105,177,4329,1010,17.0,280.0,105.0,16.0,391.0,109.0,580.0,3.0,235.0,172.0,247.0,585.0,219.0,1370.0
17,금천구,225,623,2399,3209,61,127,3078,555,11.0,178.0,82.0,14.0,267.0,98.0,343.0,1.0,172.0,118.0,135.0,489.0,130.0,1040.0
18,노원구,347,484,2498,3402,29,213,3976,1495,16.0,307.0,83.0,8.0,394.0,135.0,365.0,6.0,243.0,236.0,124.0,606.0,280.0,1173.0
19,도봉구,223,345,1747,2465,17,130,2605,759,10.0,184.0,57.0,12.0,262.0,82.0,243.0,1.0,176.0,134.0,67.0,389.0,135.0,853.0
20,동대문구,301,607,2403,4571,111,152,3994,779,8.0,199.0,93.0,16.0,360.0,118.0,381.0,5.0,252.0,162.0,149.0,565.0,196.0,1490.0
21,동작구,266,530,2098,2547,35,135,3282,998,13.0,196.0,78.0,11.0,315.0,123.0,316.0,,233.0,186.0,94.0,590.0,188.0,939.0
